week,region,price,log_price,price_change
2021-04-26,"Miami, FL",2.907,1.067121621576739,-0.011628037995119023
2021-05-03,"Miami, FL",2.876,1.0564004398588003,-0.010721181717938677
2021-05-10,"Miami, FL",2.958,1.0845133642886082,0.02811292442980795
2021-05-17,"Miami, FL",2.975,1.0902440389975931,0.0057306747089849175
2021-05-24,"Miami, FL",2.97,1.0885619528146082,-0.001682086182984932
2021-05-31,"Miami, FL",2.949,1.0814661298331392,-0.0070958229814690466
2021-06-07,"Miami, FL",2.937,1.077388652216483,-0.004077477616656111
2021-06-14,"Miami, FL",3.04,1.1118575154181303,0.034468863201647215
2021-06-21,"Miami, FL",3.013,1.1029362601481643,-0.00892125526996601
2021-06-28,"Miami, FL",3.009,1.1016077976479082,-0.001328462500256089
2021-07-05,"Miami, FL",3.079,1.1246048689423633,0.022997071294455163
2021-07-12,"Miami, FL",3.077,1.1239550963399048,-0.0006497726024585759
2021-07-19,"Miami, FL",3.057,1.1174340429086975,-0.0065210534312072355
2021-07-26,"Miami, FL",3.041,1.1121864086952276,-0.005247634213469965
2021-08-02,"Miami, FL",3.03,1.1085626195212777,-0.0036237891739498984
2021-08-09,"Miami, FL",3.086,1.126875753940969,0.0183131344196914
2021-08-16,"Miami, FL",3.087,1.1271997455200222,0.0003239915790531622
2021-08-23,"Miami, FL",3.076,1.1236300516433975,-0.0035696938766247577
2021-08-30,"Miami, FL",3.049,1.1148136680061178,-0.008816383637279657
2021-09-06,"Miami, FL",3.105,1.133013715385442,0.018200047379324236
2021-09-13,"Miami, FL",3.08,1.1249295969854831,-0.008084118399958928
2021-09-20,"Miami, FL",3.171,1.1540469955562103,0.02911739857072715
2021-09-27,"Miami, FL",3.143,1.1451777578154305,-0.008869237740779745
2021-10-04,"Miami, FL",3.132,1.1416717781285568,-0.003505979686873717
2021-10-11,"Miami, FL",3.274,1.1860124789489432,0.044340700820386436
2021-10-18,"Miami, FL",3.265,1.1832597627283945,-0.0027527162205487343
2021-10-25,"Miami, FL",3.411,1.2270055034365086,0.0437457407081141
2021-11-01,"Miami, FL",3.412,1.2272986296294326,0.000293126192923987
2021-11-08,"Miami, FL",3.391,1.2211248631435017,-0.006173766485930932
2021-11-15,"Miami, FL",3.371,1.2152094362519237,-0.0059154268915779795
2021-11-22,"Miami, FL",3.442,1.2360526977893478,0.020843261537424107
2021-11-29,"Miami, FL",3.449,1.2380843339547039,0.0020316361653560655
2021-12-06,"Miami, FL",3.395,1.2223037610106595,-0.015780572944044335
2021-12-13,"Miami, FL",3.348,1.208363152627229,-0.013940608383430586
2021-12-20,"Miami, FL",3.286,1.1896710196150764,-0.018692133012152556
2021-12-27,"Miami, FL",3.291,1.191191469961203,0.0015204503461265784
2022-01-03,"Miami, FL",3.285,1.189366651936574,-0.0018248180246289714
2022-01-10,"Miami, FL",3.262,1.1823405041988222,-0.007026147737751787
2022-01-17,"Miami, FL",3.316,1.1987592372730485,0.016418733074226255
2022-01-24,"Miami, FL",3.319,1.1996635327378375,0.0009042954647890955
2022-01-31,"Miami, FL",3.434,1.2337257624752838,0.034062229737446215
2022-02-07,"Miami, FL",3.545,1.2655381599840907,0.03181239750880693
2022-02-14,"Miami, FL",3.523,1.2593128993591005,-0.006225260624990181
2022-02-21,"Miami, FL",3.593,1.2789875081313817,0.01967460877228122
2022-02-28,"Miami, FL",3.611,1.2839847422953208,0.004997234163939046
